Model,RMSE Train,RMSE Test,R2 Train,R2 Test,MSE Train,MSE Test,MAE Train,MAE Test
SVR,0.04757619692663795,0.12439849156909445,0.9853636681675896,0.9045019579448363,0.002263494514002234,0.015474984704666064,0.02022755021344703,0.07871120309562869
XGBoost,0.06511535015137536,0.13178617772511056,0.972583023393222,0.8928224159235576,0.004240008825336219,0.01736759663939443,0.046824857772572795,0.08883515093410833
GradientBoosting,0.08010642365588583,0.1346556143853359,0.958505791276185,0.8881043584409287,0.006417039110936265,0.018132134485492283,0.05784796062863994,0.09052129301370912
LightGBM,0.09822515749965562,0.13557593601754273,0.9376124014865957,0.8865696003827062,0.00964818156583215,0.018380834427032842,0.0701883891978664,0.09109753742888292
RandomForest,0.0507130510308181,0.1523304486517832,0.9833699988134634,0.8568017595792019,0.002571813544854361,0.02320456558645356,0.035049115896001945,0.10192870100429414
