Model,RMSE Train,RMSE Test,R2 Train,R2 Test,MSE Train,MSE Test,MAE Train,MAE Test
Ridge,0.09612650399620866,0.12133082824026042,0.9402498366938855,0.9091538423286645,0.00924030477053312,0.014721169881467577,0.06825232574340873,0.07947055739870851
LightGBM,0.06275422208324545,0.13498290198125162,0.9745352919392863,0.8875597608523533,0.003938092389273291,0.018220383827280185,0.04413761157296731,0.0889986643000225
GradientBoosting,0.03756516515125689,0.14253054042235602,0.9908751989134386,0.8746339037172768,0.0014111416328412049,0.020314954953088868,0.02933041980123809,0.09496225517679541
XGBoost,0.04266860144239176,0.1441228880437576,0.9882274751132355,0.8718170826314868,0.0018206095490496765,0.02077140685807349,0.03196165678345465,0.09577809383527142
SVR,0.07611622754915225,0.15318095931367254,0.9625365893772145,0.8551982504639412,0.005793680096314323,0.023464406296257005,0.06419343983123144,0.09763744120664354
RandomForest,0.08410892719437682,0.15339836876624036,0.9542556997962688,0.8547869250630273,0.007074311633788981,0.023531059540143465,0.05567507749420423,0.10206469760754397
KNN,0.13969990175853608,0.18543783754695614,0.8738041705882057,0.7877923932279348,0.01951606255134463,0.034387191594091294,0.09920067526655676,0.12600919455170387
DecisionTree,0.12292481928422176,0.20383441184433454,0.9022915873421694,0.7435992753611431,0.015110511196058577,0.041548467451925794,0.09117716453655472,0.144994796871821
